family,base_name,theme,gameplay_identity,possible_rarities
Sword,Rusted Sword,Ruined Kingdom,Balanced melee,Common→Legendary
Sword,Funeral Blade,Funeral Corruption,Shadow melee,Common→Legendary
Sword,Royal Saber,Royalty,Precision balance,Common→Legendary
Sword,Frostbound Longsword,Glacial Warfare,Frost melee,Common→Legendary
Sword,Hollowfang Blade,Spectral Corruption,Aggressive sustain,Common→Legendary
Axe,Broken Axe,Survival,Heavy burst,Common→Legendary
Axe,Ashen Axe,Dragon Ash,Fire remnants,Common→Legendary
Axe,Frostsplitter,Glacial Execution,High stagger,Common→Legendary
Axe,Royal Executioner Axe,Kingdom Punishment,Massive hits,Common→Legendary
Axe,Tomb Cleaver,Grave Execution,Bleed execution,Common→Legendary
Dagger,Bone Knife,Survival,Fast strikes,Common→Legendary
Dagger,Frostfang Dagger,Glacial Assassin,Mobility burst,Common→Legendary
Dagger,Spectral Shiv,Spectral Corruption,DoT sustain,Common→Legendary
Dagger,Mourning Fang,Funeral Rites,Crit precision,Common→Legendary
Dagger,Assassin Fang,Rogue Hunter,Mobility crit,Common→Legendary
Greatsword,Tomb Greatsword,Ancient Graves,AoE cleave,Common→Legendary
Greatsword,Dragonbone Greatsword,Dragon Remains,Heavy stagger,Common→Legendary
Greatsword,Glacier Splitter,Frozen Execution,Ice cleave,Common→Legendary
Spear,Ashen Spear,Dragon Ash,Precision reach,Common→Legendary
Spear,Frostpiercer,Glacial Hunter,Frost precision,Common→Legendary
Spear,Royal Halberd,Royal Guard,Balanced reach,Common→Legendary
Bow,Hunter Bow,Survival Hunter,Sustained ranged,Common→Legendary
Bow,Funeral Longbow,Spectral Hunt,Shadow arrows,Common→Legendary
Bow,White Frost Bow,Glacial Elite,Frost pressure,Common→Legendary
Pistol,Rusted Pistol,Ruined Technology,Quick burst,Common→Legendary
Pistol,Frostfire Pistol,Frozen Combustion,Burst hybrid,Common→Legendary
Pistol,Royal Duelist Pistol,Elite Duelist,Mobility burst,Common→Legendary
Staff,Arathas Staff,Academy Magic,Arcane frost,Common→Legendary
Staff,Frostcaller Staff,Ritual Frost,AoE control,Common→Legendary
Staff,White Ritual Staff,Royal Ritualism,Support scaling,Common→Legendary
